ID,requirement ID,dimension ID,assessment type,expected datatype,name,description,measuring,rationale,requirements,procedure,validation,relevance,examples
12,5,3,collectionAssessment,integer,Number of missing start and end dates harvest,Determine the number of collection (versions) not showing harvest start and end date,It is measured how many collections miss stats about the date of their first harvest and the date of their last harvest,For quality assessment it is important to identify collections with missing info about the first and last harvest provenance,A collection needs to link to its harvests and the harvests need a creation date,The related shapes are validated and the resulting SHACL validation report is queried with `collection-assessment.sparql`,This metric should be a positive integer representing the number of collections with missing first and last harvest date,This metric applies on social media collections (versions),A corpus of social media collections for which one or more miss data cube observations or have invalid observations about the dates of the first and last harvest
13,6,3,singleCollectionAssessment,boolean,Missing collection harvest info,A collection shows when its harvests where executed,It is measured if a collection misses information about its harvests,"Information about harvests, such as their data, provide valuable provenance information of collections",A collection needs to link to its harvests and the harvests need a creation date,The related shapes are validated and the resulting SHACL validation report is queried with 'single-collection-assessment.sparql',"If a collection does not contain information about its harvests, this metric is true",This metric applies on social media collections (versions),A social media collection which does not link to a WARC file created by a harvest
14,6,3,collectionAssessment,integer,Number of missing collection harvests,Determine the number of collections not showing when its harvests were executed,It is measured how many collections miss information about their harvests,For quality assessment it is important to identify collections with missing harvest provenance,A collection needs to link to its harvests and the harvests need a creation date,The related shapes are validated and the resulting SHACL validation report is queried with `collection-assessment.sparql`,This metric should be a positive integer representing the number of collections with missing harvest information,This metric applies on social media collections (versions),A corpus of social media collections for which one or more do not link to at least one WARC file created by a harvest
15,7,3,singleCollectionAssessment,boolean,Missing collection version harvest info,A collection version shows when its harvest(s) where executed,It is measured if a collection version misses information about its harvest(s),"Information about harvests, such as their data, provide valuable provenance information of collections",A collection needs to link to its harvests and the harvests need a creation date,The related shapes are validated and the resulting SHACL validation report is queried with 'single-collection-assessment.sparql',"If a collection version does not contain information about its harvest(s), this metric is true",This metric applies on social media collections (versions),A social media collection version which does not link to a WARC file created by a harvest
16,7,3,collectionAssessment,integer,Number of missing collection version harvests,Determine the number of collection versions not showing when its harvests were executed.,It is measured how many collection versions miss information about their harvest(s),For quality assessment it is important to identify collections with missing harvest provenance,A collection needs to link to its harvests and the harvests need a creation date,The related shapes are validated and the resulting SHACL validation report is queried with `collection-assessment.sparql`,This metric should be a positive integer representing the number of collection versions with missing harvest information,This metric applies on social media collections (versions),A corpus of social media collection versions for which one or more do not link to at least one WARC file created by a harvest
17,8,4,singleCollectionAssessment,boolean,Missing collection versions info,A collection shows its versions,It is measured if a collection misses information about its versions,"Collections metadata or seeds can be changed which influences the content of the collection, thus different versions should be available",A collection needs to link to its versions,The related shapes are validated and the resulting SHACL validation report is queried with 'single-collection-assessment.sparql',"If a collection does not contain information about its versions, this metric is true",This metric applies on social media collections (versions),A social media collection which is not linked from versions via prov:specializationOf
18,8,4,collectionAssessment,integer,Number of missing collection versions info,Determine the number of collections not showing its versions,It is measured how many collections miss information about their versions,For quality assessment it is important to identify collections with missing version information,A collection needs to link to its versions,The related shapes are validated and the resulting SHACL validation report is queried with `collection-assessment.sparql`,This metric should be a positive integer representing the number of collections with missing version information,This metric applies on social media collections (versions),A corpus of social media collection versions for which one or more are not linked from versions via prov:specializationOf
19,9,5,singleCollectionAssessment,boolean,Missing collection seeds info,A collection (version) shows which seeds versions were used to create it,It is measured if a collection misses information about used seeds to create it,The seeds of collections provide valuable information about the content and should be accessible for users to assess the collection,A collection (version) needs to link to concrete seeds versions used to create the collection,The related shapes are validated and the resulting SHACL validation report is queried with 'single-collection-assessment.sparql',"If a collection does not contain information about its seeds, this metric is true",This metric applies on social media collections (versions),A social media collection which does not link to harvests and seeds used by the harvest
20,9,5,collectionAssessment,integer,Number of missing collection seeds,Determine the number of collection (versions) not showing which seeds versions were used to create it,It is measured how many collections miss information about used seeds to create them,For quality assessment it is important to identify collections with missing seed information,A collection (version) needs to link to concrete seeds versions used to create the collection,The related shapes are validated and the resulting SHACL validation report is queried with `collection-assessment.sparql`,This metric should be a positive integer representing the number of collections with missing seed information,This metric applies on social media collections (versions),A corpus of social media collections for which one or more do not link to harvests and seeds used by the harvest
21,10,6,singleCollectionAssessment,boolean,Missing collection named entities info,A collection (version) shows the top-10 named entities identified in the collection (version),It is measured if a collection misses information about most used named entities,A list of most used named entities in a collection provides valuable information to assess a collection,"Aggregated information about most used named entities of a collection should be available, e.g. as data cube observations",The related shapes are validated and the resulting SHACL validation report is queried with 'single-collection-assessment.sparql',"If a collection does not contain information about most used named entities, this metric is true",This metric applies on social media collections (versions),"A social media collection referred via a dimension from a data cube observation, together with a dimension for a named entity and an observed number of its occurrences within the collection. Either less than a specified number of such observations exist or the observation contains an invalid number"
22,10,6,collectionAssessment,integer,Number of missing top 10 named entities,Determine the number of collection (versions) not showing top-10 named entities identified in the collection (version).,It is measured how many collections miss information about most used named entities,For quality assessment it is important to identify collections with missing most used named entities information,"Aggregated information about most used named entities of a collection should be available, e.g. as data cube observations",The related shapes are validated and the resulting SHACL validation report is queried with `collection-assessment.sparql`,This metric should be a positive integer representing the number of collections with missing most used named entities information,This metric applies on social media collections (versions),A corpus of social media collections for which one or more miss data cube observations or have invalid observations about posts
23,11,6,singleCollectionAssessment,boolean,Missing collection persons and locations info,A collection (version) shows at least the top-10 person and locations named entities,It is measured if a collection misses information about most used ‘person’ and ‘location’ named entities,"Many types of named entities exist, persons and locations are common entities which are identified ","Aggregated information about most used person and location entities of a collection should be available, e.g. as data cube observations",The related shapes are validated and the resulting SHACL validation report is queried with 'single-collection-assessment.sparql',"If a collection does not contain information about most used persons and locations, this metric is true",This metric applies on social media collections (versions),"A social media collection referred via a dimension from a data cube observation, together with a dimension for a named entity (person or location) and an observed number of its occurrences within the collection. Either less than a specified number of such observations exist or the observation contains an invalid number"
24,11,6,collectionAssessment,integer,Number of missing collection persons and locations,Determine the number of collection (versions) not showing at least the top-10 person and locations named entities,It is measured how many collections miss information about most used ‘person’ and ‘location’ named entities,For quality assessment it is important to identify collections with missing information about identified persons and locations,"Aggregated information about most used person and location entities of a collection should be available, e.g. as data cube observations",The related shapes are validated and the resulting SHACL validation report is queried with `collection-assessment.sparql`,This metric should be a positive integer representing the number of collections with missing person and location named entities information,This metric applies on social media collections (versions),A corpus of social media collections for which one or more miss data cube observations or have invalid observations about posts
25,12,7,singleCollectionAssessment,boolean,Missing collection hashtags info,A collection (version) shows the top-10 hashtags identified in the collection (version),It is measured if a collection misses information about most used hashtags,A list of most used hashtags in a collection provides valuable information to assess a collection,"Aggregated information about most used hashtags of a collection should be available, e.g. as data cube observations",The related shapes are validated and the resulting SHACL validation report is queried with 'single-collection-assessment.sparql',"If a collection does not contain information about its most used hashtags, this metric is true",This metric applies on social media collections (versions),"A social media collection referred via a dimension from a data cube observation, together with a dimension for a hashtag and an observed number of its occurrences within the collection. Either less than a specified number of such observations exist or the observation contains an invalid number"
26,12,7,collectionAssessment,integer,Number of missing collection hashtags,Determine the number of collection (versions) not showing top-10 hashtags identified in the collection (version),It is measured how many collections miss information about most used hashtags,For quality assessment it is important to identify collections with missing most used hashtags information,"Aggregated information about most used hashtags of a collection should be available, e.g. as data cube observations",The related shapes are validated and the resulting SHACL validation report is queried with `collection-assessment.sparql`,This metric should be a positive integer representing the number of collections with missing most used hashtags information,This metric applies on social media collections (versions),A corpus of social media collections for which one or more miss data cube observations or have invalid observations about posts
27,13,8,singleCollectionAssessment,boolean,Mmissing collection license info,A collection (version) shows its license for reuse,It is measured if a collection misses licensing information,Licensing information provides users information about how collections might be reused,A collection needs to link to its license,The related shapes are validated and the resulting SHACL validation report is queried with 'single-collection-assessment.sparql',"If a collection does not contain information about its license, this metric is true",This metric applies on social media collections (versions),A social media collection which does not link to license information
28,13,8,collectionAssessment,integer,Number of missing collection license,Determine the number of collection (versions) not showing their license for reuse,It is measured how many collections miss licensing information,For quality assessment it is important to identify collections with missing licensing information,A collection needs to link to its license,The related shapes are validated and the resulting SHACL validation report is queried with `collection-assessment.sparql`,This metric should be a positive integer representing the number of collections with missing license information,This metric applies on social media collections (versions),A corpus of social media collections for which one or more do not link to license information
29,14,9,singleCollectionAssessment,boolean,Missing collection formats info,A collection (version) shows its available formats,It is measured if a collection misses information about available metadata formats of the collection,Users of different domains with different software may need information about a collection in different metadata formats,A collection should have a property indicating in which metadata formats it is available,The related shapes are validated and the resulting SHACL validation report is queried with 'single-collection-assessment.sparql',"If a collection does not contain information about available metadata formats, this metric is true","This metric applies on social media collections (versions), however all resources (datsets) profit from information about available formats",A social media collection which does not link to available metadata formats
30,14,9,collectionAssessment,integer,Number of missing collection formats,Determine the number of collection (versions) not showing their available formats,It is measured how many collections miss information about available metadata formats of them,For quality assessment it is important to identify collections with missing information about available metadata formats,A collection should have a property indicating in which metadata formats it is available,The related shapes are validated and the resulting SHACL validation report is queried with `collection-assessment.sparql`,This metric should be a positive integer representing the number of collections with missing available metadata formats information,"This metric applies on social media collections (versions), however all resources (datsets) profit from information about available formats",A corpus of social media collections for which one or more do not link to available metadata formats
